Agree Realty Corporation (ADC) ,ADC, $603.1M , 10/27/2014 , Sep 2014 , $0.56 , 2 , $0.55 ,-1.79%
Allergan plc. (AGN) ,AGN, $113.05B , 10/27/2014 , Sep 2014 , $1.76 , 5 , $1.78 ,1.14%
Alliance Holdings GP L.P. (AHGP) ,AHGP, $1.84B , 10/27/2014 , Sep 2014 , $1.08 , 3 , $1.15 ,6.48%
Alliance Resource Partners L.P. (ARLP) ,ARLP, $1.55B , 10/27/2014 , Sep 2014 , $1.06 , 6 , $1.13 ,6.6%
Allison Transmission Holdings Inc. (ALSN) ,ALSN, $5.06B , 10/27/2014 , Sep 2014 , $0.29 , 8 , $0.38 ,31.03%
American Capital Agency Corp. (AGNC) ,AGNC, $6.27B , 10/27/2014 , Sep 2014 , $0.77 , 7 , $0.86 ,11.69%
Amgen Inc. (AMGN) ,AMGN, $123.34B , 10/27/2014 , Sep 2014 , $2.06 , 2 , $2.3 ,11.65%
Amkor Technology Inc. (AMKR) ,AMKR, $1.52B , 10/27/2014 , Sep 2014 , $0.26 , 1 , $0.2 ,-23.08%
ANADIGICS Inc. (ANAD) ,ANAD, $20.82M , 10/27/2014 , Sep 2014 , $-0.09 , 1 , $-0.08 ,-11.11%
Anchor Bancorp (ANCB) ,ANCB, $59.46M , 10/27/2014 , Sep 2014 , $0.04 , 1 , $0.05 ,25%
Arlington Asset Investment Corp (AI) ,AI, $316.57M , 10/27/2014 , Sep 2014 , $1.09 , 2 , $1.29 ,18.35%
Armstrong World Industries Inc (AWI) ,AWI, $2.65B , 10/27/2014 , Sep 2014 , $0.78 , 9 , $0.83 ,6.41%
Artisan Partners Asset Management Inc. (APAM) ,APAM, $2.61B , 10/27/2014 , Sep 2014 , $0.83 , 4 , $0.79 ,-4.82%
Auburn National Bancorporation Inc. (AUBN) ,AUBN, $97.83M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.55 ,n/a
AvalonBay Communities Inc. (AVB) ,AVB, $23.53B , 10/27/2014 , Sep 2014 , $2.01 , 11 , $2.14 ,6.47%
Bank of Hawaii Corporation (BOH) ,BOH, $2.9B , 10/27/2014 , Sep 2014 , $0.93 , 8 , $0.95 ,2.15%
Berkshire Hills Bancorp Inc. (BHLB) ,BHLB, $923.14M , 10/27/2014 , Sep 2014 , $0.44 , 3 , $0.46 ,4.55%
Blue Capital Reinsurance Holdings Ltd. (BCRH) ,BCRH, $155.09M , 10/27/2014 , Sep 2014 , $0.42 , 5 , $0.51 ,21.43%
Bridge Bancorp Inc. (BDGE) ,BDGE, $523.05M , 10/27/2014 , Sep 2014 , $0.42 , 1 , $0.42 ,0%
Brixmor Property Group Inc. (BRX) ,BRX, $7.63B , 10/27/2014 , Sep 2014 , $0.47 , 9 , $0.47 ,0%
Buffalo Wild Wings Inc. (BWLD) ,BWLD, $3.51B , 10/27/2014 , Sep 2014 , $1.06 , 15 , $1.14 ,7.55%
Canon Inc. (CAJ) ,CAJ, $33.02B , 10/27/2014 , Sep 2014 , $0.52 , 1 , $0.48 ,-7.69%
CBIZ Inc. (CBZ) ,CBZ, $602.05M , 10/27/2014 , Sep 2014 , $0.12 , 1 , $0.24 ,100%
Cementos Pacasmayo S.A.A. (CPAC) ,CPAC, $754.23M , 10/27/2014 , Sep 2014 , $0.17 , 1 , $0.12 ,-29.41%
CenterState Banks Inc. (CSFL) ,CSFL, $683.72M , 10/27/2014 , Sep 2014 , $0.11 , 5 , $0.13 ,18.18%
Citizens Financial Group Inc. (CFG) ,CFG, $12.76B , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.36 ,n/a
Cliffs Natural Resources Inc. (CLF) ,CLF, $404.99M , 10/27/2014 , Sep 2014 , $0.05 , 10 , $0.21 ,320%
Cognex Corporation (CGNX) ,CGNX, $3.21B , 10/27/2014 , Sep 2014 , $0.56 , 3 , $0.57 ,1.79%
Compass Minerals International Inc. (CMP) ,CMP, $2.76B , 10/27/2014 , Sep 2014 , $0.82 , 4 , $0.81 ,-1.22%
Crane Company (CR) ,CR, $3.02B , 10/27/2014 , Sep 2014 , $1.17 , 3 , $1.12 ,-4.27%
Crocs Inc. (CROX) ,CROX, $775.23M , 10/27/2014 , Sep 2014 , $0.14 , 5 , $0.3 ,114.29%
CTS Corporation (CTS) ,CTS, $597.15M , 10/27/2014 , Sep 2014 , $0.27 , 1 , $0.29 ,7.41%
DDR Corp. (DDR) ,DDR, $6.2B , 10/27/2014 , Sep 2014 , $0.29 , 11 , $0.29 ,0%
Denny's Corporation (DENN) ,DENN, $961.1M , 10/27/2014 , Sep 2014 , $0.09 , 4 , $0.1 ,11.11%
Ducommun Incorporated (DCO) ,DCO, $244.7M , 10/27/2014 , Sep 2014 , $0.49 , 4 , $0.24 ,-51.02%
Education Realty Trust Inc. (EDR) ,EDR, $1.76B , 10/27/2014 , Sep 2014 , $0.11 , 5 , $0.11 ,0%
Empresa Nacional de Electricidad S.A. (EOC) ,EOC, $10.46B , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.6 ,n/a
EXACT Sciences Corporation (EXAS) ,EXAS, $792.72M , 10/27/2014 , Sep 2014 , $-0.34 , 6 , $-0.39 ,14.71%
Ferro Corporation (FOE) ,FOE, $1.1B , 10/27/2014 , Sep 2014 , $0.16 , 5 , $0.16 ,0%
First BanCorp. (FBP) ,FBP, $858.89M , 10/27/2014 , Sep 2014 , $0.12 , 3 , $0.11 ,-8.33%
First Interstate BancSystem Inc. (FIBK) ,FIBK, $1.3B , 10/27/2014 , Sep 2014 , $0.46 , 5 , $0.49 ,6.52%
First Reliance Bancshares Inc. (SC) (FSRL) ,SC, n/a , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.72 ,n/a
First West Virginia Bancorp Inc. (FWV) ,FWV, $33.04M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.45 ,n/a
Flushing Financial Corporation (FFIC) ,FFIC, $645.02M , 10/27/2014 , Sep 2014 , $0.38 , 5 , $0.38 ,0%
Franklin Resources Inc. (BEN) ,BEN, $24.53B , 10/27/2014 , Sep 2014 , $0.92 , 9 , $1.02 ,10.87%
FS Bancorp Inc. (FSBW) ,FSBW, $85.84M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.39 ,n/a
General Growth Properties Inc. (GGP) ,GGP, $25.63B , 10/27/2014 , Sep 2014 , $0.32 , 9 , $0.33 ,3.13%
German American Bancorp Inc. (GABC) ,GABC, $417.68M , 10/27/2014 , Sep 2014 , $0.51 , 4 , $0.58 ,13.73%
Giga-tronics Incorporated (GIGA) ,GIGA, $7.47M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0 ,n/a
GigOptix Inc. (GIG) ,GIG, $80.7M , 10/27/2014 , Sep 2014 , $-0.04 , 2 , $-0.01 ,-75%
Gladstone Land Corporation (LAND) ,LAND, $83.08M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.12 ,n/a
Hartford Financial Services Group Inc. (The) (HIG) ,The, $19.01B , 10/27/2014 , Sep 2014 , $0.84 , 11 , $1.06 ,26.19%
HealthSouth Corporation (HLS) ,HLS, $3.32B , 10/27/2014 , Sep 2014 , $0.48 , 9 , $0.53 ,10.42%
Heartland Financial USA Inc. (HTLF) ,HTLF, $790.26M , 10/27/2014 , Sep 2014 , $0.59 , 3 , $0.63 ,6.78%
HF Financial Corp. (HFFC) ,HFFC, $113.01M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.26 ,n/a
HomeStreet Inc. (HMST) ,HMST, $465.91M , 10/27/2014 , Sep 2014 , $0.29 , 2 , $0.33 ,13.79%
Huntsman Corporation (HUN) ,HUN, $3.24B , 10/27/2014 , Sep 2014 , $0.54 , 8 , $0.6 ,11.11%
Independent Bank Corporation (IBCP) ,IBCP, $337.87M , 10/27/2014 , Sep 2014 , $0.21 , 2 , $0.21 ,0%
Innophos Holdings Inc. (IPHS) ,IPHS, $833.9M , 10/27/2014 , Sep 2014 , $0.9 , 2 , $0.83 ,-7.78%
Integrated Device Technology Inc. (IDTI) ,IDTI, $3.86B , 10/27/2014 , Sep 2014 , $0.17 , 2 , $0.18 ,5.88%
Intevac Inc. (IVAC) ,IVAC, $106.92M , 10/27/2014 , Sep 2014 , $-0.21 , 2 , $-0.15 ,-28.57%
Investar Holding Corporation (ISTR) ,ISTR, $115.95M , 10/27/2014 , Sep 2014 , $0.17 , 1 , $0.2 ,17.65%
Kadant Inc (KAI) ,KAI, $465.79M , 10/27/2014 , Sep 2014 , $0.54 , 2 , $0.63 ,16.67%
Knowles Corporation (KN) ,KN, $1.49B , 10/27/2014 , Sep 2014 , $0.35 , 1 , $0.38 ,8.57%
Lake Shore Bancorp Inc. (LSBK) ,LSBK, $80.34M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.12 ,n/a
Lakeland Financial Corporation (LKFN) ,LKFN, $778.26M , 10/27/2014 , Sep 2014 , $0.69 , 4 , $0.69 ,0%
Ligand Pharmaceuticals Incorporated (LGND) ,LGND, $1.83B , 10/27/2014 , Sep 2014 , $0.21 , 2 , $0.19 ,-9.52%
Luminex Corporation (LMNX) ,LMNX, $800.68M , 10/27/2014 , Sep 2014 , $0.1 , 2 , $0.22 ,120%
Manitowoc Company Inc. (The) (MTW) ,The, $2.04B , 10/27/2014 , Sep 2014 , $0.45 , 12 , $0.36 ,-20%
Masco Corporation (MAS) ,MAS, $10.06B , 10/27/2014 , Sep 2014 , $0.31 , 14 , $0.31 ,0%
Merck &amp; Company Inc. (MRK) ,MRK, $155.2B , 10/27/2014 , Sep 2014 , $0.88 , 9 , $0.9 ,2.27%
MicroStrategy Incorporated (MSTR) ,MSTR, $2.03B , 10/27/2014 , Sep 2014 , $-0.01 , 3 , $-0.07 ,600%
Monolithic Power Systems Inc. (MPWR) ,MPWR, $2.49B , 10/27/2014 , Sep 2014 , $0.27 , 5 , $0.32 ,18.52%
MutualFirst Financial Inc. (MFSF) ,MFSF, $171.76M , 10/27/2014 , Sep 2014 , $0.35 , 3 , $0.36 ,2.86%
Navios Maritime Partners LP (NMM) ,NMM, $608.97M , 10/27/2014 , Sep 2014 , $0.16 , 5 , $0.16 ,0%
NBT Bancorp Inc. (NBTB) ,NBTB, $1.28B , 10/27/2014 , Sep 2014 , $0.43 , 3 , $0.45 ,4.65%
Old National Bancorp (ONB) ,ONB, $1.67B , 10/27/2014 , Sep 2014 , $0.23 , 8 , $0.26 ,13.04%
Omega Healthcare Investors Inc. (OHI) ,OHI, $6.56B , 10/27/2014 , Sep 2014 , $0.69 , 1 , $0.73 ,5.8%
Opus Bank (OPB) ,OPB, $1.04B , 10/27/2014 , Sep 2014 , $0.34 , 2 , $0.24 ,-29.41%
Orchid Island Capital Inc. (ORC) ,ORC, $227.56M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.63 ,n/a
Owens &amp; Minor Inc. (OMI) ,OMI, $2.24B , 10/27/2014 , Sep 2014 , $0.46 , 7 , $0.42 ,-8.7%
Park National Corporation (PRK) ,PRK, $1.46B , 10/27/2014 , Sep 2014 , $1.33 , 1 , $1.19 ,-10.53%
PartnerRe Ltd. (PRE) ,PRE, $6.67B , 10/27/2014 , Sep 2014 , $3.44 , 10 , $4.47 ,29.94%
Plum Creek Timber Company Inc. (PCL) ,PCL, $7.16B , 10/27/2014 , Sep 2014 , $0.3 , 5 , $0.32 ,6.67%
PMC - Sierra Inc. (PMCS) ,PMCS, $2.26B , 10/27/2014 , Sep 2014 , $0.07 , 3 , $0.09 ,28.57%
Precision Drilling Corporation (PDS) ,PDS, $1.17B , 10/27/2014 , Sep 2014 , $0.16 , 8 , $0.16 ,0%
PRGX Global Inc. (PRGX) ,PRGX, $90.91M , 10/27/2014 , Sep 2014 , $0.09 , 4 , $-0.01 ,-111.11%
PS Business Parks Inc. (PSB) ,PSB, $2.33B , 10/27/2014 , Sep 2014 , $1.2 , 2 , $1.2 ,0%
Regal Entertainment Group (RGC) ,RGC, $3B , 10/27/2014 , Sep 2014 , $0.19 , 11 , $0.18 ,-5.26%
Reinsurance Group of America Incorporated (RGA) ,RGA, $6.45B , 10/27/2014 , Sep 2014 , $2.09 , 7 , $2.31 ,10.53%
Retail Properties of America Inc. (RPAI) ,RPAI, $3.62B , 10/27/2014 , Sep 2014 , $0.25 , 4 , $0.28 ,12%
Roper Technologies Inc. (ROP) ,ROP, $18.54B , 10/27/2014 , Sep 2014 , $1.53 , 6 , $1.55 ,1.31%
Sanmina Corporation (SANM) ,SANM, $1.72B , 10/27/2014 , Sep 2014 , $0.48 , 2 , $0.57 ,18.75%
Scorpio Tankers Inc. (STNG) ,STNG, $1.71B , 10/27/2014 , Sep 2014 , $-0.02 , 2 , $-0.01 ,-50%
Seacoast Banking Corporation of Florida (SBCF) ,SBCF, $518.9M , 10/27/2014 , Sep 2014 , $0.1 , 4 , $0.13 ,30%
SEACOR Holdings Inc. (CKH) ,CKH, $1.04B , 10/27/2014 , Sep 2014 , $n/a , 0 , $1.28 ,n/a
Seagate Technology. (STX) ,STX, $11.88B , 10/27/2014 , Sep 2014 , $1.25 , 12 , $1.34 ,7.2%
Select Income REIT (SIR) ,SIR, $1.84B , 10/27/2014 , Sep 2014 , $0.68 , 2 , $0.66 ,-2.94%
Siliconware Precision Industries Company Ltd. (SPIL) ,SPIL, $4.2B , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.17 ,n/a
Southern Missouri Bancorp Inc. (SMBC) ,SMBC, $167.87M , 10/27/2014 , Sep 2014 , $n/a , 0 , $0.89 ,n/a
