1st Century Bancshares Inc (FCTY) ,FCTY,73840000, 10/28/2015 , Sep 2015 , $0.09 , 1 , $0.09 ,0%
Acco Brands Corporation (ACCO) ,ACCO,858500000, 10/28/2015 , Sep 2015 , $0.27 , 3 , $0.28 ,3.7%
Affymetrix Inc. (AFFX) ,AFFX,735700000, 10/28/2015 , Sep 2015 , $0.07 , 6 , $0.1 ,42.86%
AGCO Corporation (AGCO) ,AGCO,4220000000, 10/28/2015 , Sep 2015 , $0.48 , 7 , $0.77 ,60.42%
Agnico Eagle Mines Limited (AEM) ,AEM,6150000000, 10/28/2015 , Sep 2015 , $0 , 9 , $0.16 ,∞%
Alliance Fiber Optic Products Inc. (AFOP) ,AFOP,243830000, 10/28/2015 , Sep 2015 , $0.36 , 1 , $0.2 ,-44.44%
American Capital Mortgage Investment Corp. (MTGE) ,MTGE,742800000, 10/28/2015 , Sep 2015 , $0.46 , 4 , $0.48 ,4.35%
American Railcar Industries Inc. (ARII) ,ARII,1230000000, 10/28/2015 , Sep 2015 , $1.41 , 5 , $1.38 ,-2.13%
AMERISAFE Inc. (AMSF) ,AMSF,1040000000, 10/28/2015 , Sep 2015 , $0.85 , 2 , $0.94 ,10.59%
Amgen Inc. (AMGN) ,AMGN,119940000000, 10/28/2015 , Sep 2015 , $2.38 , 11 , $2.72 ,14.29%
Anchor Bancorp (ANCB) ,ANCB,60690000, 10/28/2015 , Sep 2015 , $0.14 , 1 , $0.14 ,0%
Anika Therapeutics Inc. (ANIK) ,ANIK,563630000, 10/28/2015 , Sep 2015 , $0.34 , 3 , $0.55 ,61.76%
Antero Midstream Partners LP (AM) ,AM,4190000000, 10/28/2015 , Sep 2015 , $0.11 , 5 , $0.23 ,109.09%
Antero Resources Corporation (AR) ,AR,6530000000, 10/28/2015 , Sep 2015 , $-0.06 , 2 , $-0.01 ,-83.33%
Anthem Inc. (ANTM) ,ANTM,36330000000, 10/28/2015 , Sep 2015 , $2.33 , 12 , $2.73 ,17.17%
Apollo Global Management LLC (APO) ,APO,7220000000, 10/28/2015 , Sep 2015 , $-0.09 , 7 , $0.26 ,-388.89%
Applied Industrial Technologies Inc. (AIT) ,AIT,1640000000, 10/28/2015 , Sep 2015 , $0.68 , 3 , $0.61 ,-10.29%
Arch Capital Group Ltd. (ACGL) ,ACGL,9170000000, 10/28/2015 , Sep 2015 , $0.98 , 8 , $1.01 ,3.06%
ARI Network Services Inc. (ARIS) ,ARIS,62390000, 10/28/2015 , Jul 2015 , $0.02 , 2 , $0.02 ,0%
ARRIS Group Inc. (ARRS) ,ARRS,4139999000, 10/28/2015 , Sep 2015 , $0.5 , 1 , $0.49 ,-2%
Arrow Electronics Inc. (ARW) ,ARW,5140000000, 10/28/2015 , Sep 2015 , $1.47 , 5 , $1.4 ,-4.76%
Astoria Financial Corporation (AF) ,AF,1610000000, 10/28/2015 , Sep 2015 , $0.16 , 7 , $0.17 ,6.25%
Atlantic Coast Financial Corporation (ACFC) ,ACFC,94920000, 10/28/2015 , Sep 2015 , $0.09 , 1 , $0.07 ,-22.22%
Atlantic Tele-Network Inc. (ATNI) ,ATNI,1250000000, 10/28/2015 , Sep 2015 , $0.57 , 2 , $0.41 ,-28.07%
Atmel Corporation (ATML) ,ATML,3180000000, 10/28/2015 , Sep 2015 , $0.05 , 3 , $0.05 ,0%
Automatic Data Processing Inc. (ADP) ,ADP,40520000000, 10/28/2015 , Sep 2015 , $0.65 , 12 , $0.68 ,4.62%
AutoNation Inc. (AN) ,AN,6990000000, 10/28/2015 , Sep 2015 , $1.05 , 9 , $1.05 ,0%
Axalta Coating Systems Ltd. (AXTA) ,AXTA,6530000000, 10/28/2015 , Sep 2015 , $0.25 , 7 , $0.27 ,8%
BankFinancial Corporation (BFIN) ,BFIN,252790000, 10/28/2015 , Sep 2015 , $0.12 , 1 , $0.12 ,0%
Barrick Gold Corporation (ABX) ,ABX,8960000000, 10/28/2015 , Sep 2015 , $0.06 , 10 , $0.11 ,83.33%
Bel Fuse Inc. (BELFB) ,BELFB,214530000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.24 ,n/a
Bel Fuse Inc. (BELFA) ,BELFA,190560000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.24 ,n/a
Belden Inc (BDC) ,BDC,2730000000, 10/28/2015 , Sep 2015 , $1.1 , 2 , $1.14 ,3.64%
BGC Partners Inc. (BGCP) ,BGCP,2170000000, 10/28/2015 , Sep 2015 , $0.19 , 1 , $0.19 ,0%
Bio-Techne Corp (TECH) ,TECH,3280000000, 10/28/2015 , Sep 2015 , $0.85 , 4 , $0.75 ,-11.76%
Blackbaud Inc. (BLKB) ,BLKB,2940000000, 10/28/2015 , Sep 2015 , $0.31 , 3 , $0.29 ,-6.45%
Blue Hills Bancorp Inc. (BHBK) ,BHBK,403730000, 10/28/2015 , Sep 2015 , $0.02 , 1 , $0.07 ,250%
BOK Financial Corporation (BOKF) ,BOKF,4630000000, 10/28/2015 , Sep 2015 , $1.12 , 6 , $1.09 ,-2.68%
Booz Allen Hamilton Holding Corporation (BAH) ,BAH,4370000000, 10/28/2015 , Sep 2015 , $0.35 , 9 , $0.39 ,11.43%
Boston Scientific Corporation (BSX) ,BSX,24570000000, 10/28/2015 , Sep 2015 , $0.23 , 20 , $0.24 ,4.35%
Breeze-Eastern Corporation (BZC) ,BZC,202250000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.29 ,n/a
BroadVision Inc. (BVSN) ,BVSN,29240000, 10/28/2015 , Sep 2015 , $n/a , 0 , $-0.42 ,n/a
Broadway Financial Corporation (BYFC) ,BYFC,39250000, 10/28/2015 , Sep 2015 , $n/a , 0 , $0.03 ,n/a
Buffalo Wild Wings Inc. (BWLD) ,BWLD,2930000000, 10/28/2015 , Sep 2015 , $1.28 , 15 , $1 ,-21.88%
CACI International Inc. (CACI) ,CACI,2350000000, 10/28/2015 , Sep 2015 , $1.05 , 9 , $1.75 ,66.67%
California Water Service Group Holding (CWT) ,CWT,1070000000, 10/28/2015 , Sep 2015 , $0.66 , 3 , $0.52 ,-21.21%
Capstead Mortgage Corporation (CMO) ,CMO,924710000, 10/28/2015 , Sep 2015 , $0.25 , 3 , $0.18 ,-28%
Carbonite Inc. (CARB) ,CARB,277780000, 10/28/2015 , Sep 2015 , $-0.05 , 3 , $-0.16 ,220%
Cavium Inc. (CAVM) ,CAVM,3950000000, 10/28/2015 , Sep 2015 , $0.18 , 5 , $0.16 ,-11.11%
CBIZ Inc. (CBZ) ,CBZ,571230000, 10/28/2015 , Sep 2015 , $0.16 , 1 , $0.24 ,50%
CBL & Associates Properties Inc. (CBL) ,CBL,2490000000, 10/28/2015 , Sep 2015 , $0.57 , 10 , $0.56 ,-1.75%
Celadon Group Inc. (CGI) ,CGI,410540000, 10/28/2015 , Sep 2015 , $0.39 , 7 , $0.41 ,5.13%
Cementos Pacasmayo S.A.A. (CPAC) ,CPAC,758880000, 10/28/2015 , Sep 2015 , $0.15 , 1 , $0.16 ,6.67%
Chase Corporation (CCF) ,CCF,408520000, 10/28/2015 , Aug 2015 , $n/a , 0 , $0.84 ,n/a
Chemtura Corp. (CHMT) ,CHMT,2150000000, 10/28/2015 , Sep 2015 , $0.37 , 7 , $0.45 ,21.62%
