1-800 FLOWERS.COM Inc. (FLWS) ,FLWS, $644.76M , 10/28/2014 , Sep 2014 , $-0.07 , 2 , $-0.06 ,-14.29%
A.H. Belo Corporation (AHC) ,AHC, $117.29M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.1 ,n/a
Acadia Realty Trust (AKR) ,AKR, $2.26B , 10/28/2014 , Sep 2014 , $0.36 , 4 , $0.33 ,-8.33%
Active Power Inc. (ACPW) ,ACPW, $38.13M , 10/28/2014 , Sep 2014 , $-0.21 , 1 , $-0.11 ,-47.62%
Advantest Corporation (Kabushiki Kaisha Advantest) ADS (ATE) ,ATE, $1.39B , 10/28/2014 , Sep 2014 , $n/a , 0 , $-0.31 ,n/a
Aetna Inc. (AET) ,AET, $40.01B , 10/28/2014 , Sep 2014 , $1.58 , 16 , $1.79 ,13.29%
Aflac Incorporated (AFL) ,AFL, $27.46B , 10/28/2014 , Sep 2014 , $1.43 , 16 , $1.51 ,5.59%
AGCO Corporation (AGCO) ,AGCO, $4.22B , 10/28/2014 , Sep 2014 , $0.63 , 12 , $0.71 ,12.7%
Aixtron SE (AIXG) ,AIXG, $710.74M , 10/28/2014 , Sep 2014 , $-0.12 , 2 , $-0.23 ,91.67%
Alere Inc. (ALR) ,ALR, $3.95B , 10/28/2014 , Sep 2014 , $0.52 , 1 , $0.44 ,-15.38%
AMC Entertainment Holdings Inc. (AMC) ,AMC, $2.67B , 10/28/2014 , Sep 2014 , $0.03 , 7 , $0.08 ,166.67%
American Financial Group Inc. (AFG) ,AFG, $6.32B , 10/28/2014 , Sep 2014 , $1.16 , 5 , $1.4 ,20.69%
American National Insurance Company (ANAT) ,ANAT, $2.78B , 10/28/2014 , Sep 2014 , $n/a , 0 , $2.58 ,n/a
AMERIPRISE FINANCIAL SERVICES INC. (AMP) ,AMP, $20.56B , 10/28/2014 , Sep 2014 , $1.95 , 4 , $2.24 ,14.87%
AMTEK Inc. (AME) ,AME, $13.28B , 10/28/2014 , Sep 2014 , $0.61 , 6 , $0.62 ,1.64%
Anadarko Petroleum Corporation (APC) ,APC, $33.98B , 10/28/2014 , Sep 2014 , $1.3 , 14 , $1.16 ,-10.77%
Anixter International Inc. (AXE) ,AXE, $2.26B , 10/28/2014 , Sep 2014 , $1.71 , 4 , $1.69 ,-1.17%
Apollo Commercial Real Estate Finance (ARI) ,ARI, $970.51M , 10/28/2014 , Sep 2014 , $0.43 , 2 , $0.44 ,2.33%
Applied Micro Circuits Corporation (AMCC) ,AMCC, $528.32M , 10/28/2014 , Sep 2014 , $-0.1 , 1 , $-0.12 ,20%
Arch Coal Inc. (ACI) ,ACI, $31.9M , 10/28/2014 , Sep 2014 , $-0.41 , 10 , $-0.45 ,9.76%
ARI Network Services Inc. (ARIS) ,ARIS, $62.39M , 10/28/2014 , Jul 2014 , $n/a , 0 , $-0.01 ,n/a
Arthur J. Gallagher & Co. (AJG) ,AJG, $7.73B , 10/28/2014 , Sep 2014 , $0.68 , 11 , $0.68 ,0%
Aspen Technology Inc. (AZPN) ,AZPN, $3.45B , 10/28/2014 , Sep 2014 , $0.27 , 1 , $0.32 ,18.52%
AutoNation Inc. (AN) ,AN, $6.99B , 10/28/2014 , Sep 2014 , $0.86 , 8 , $0.9 ,4.65%
Ballard Power Systems Inc. (BLDP) ,BLDP, $231.68M , 10/28/2014 , Sep 2014 , $-0.01 , 1 , $-0.02 ,100%
Barrett Business Services Inc. (BBSI) ,BBSI, $352.76M , 10/28/2014 , Sep 2014 , $1.32 , 2 , $1.35 ,2.27%
Big 5 Sporting Goods Corporation (BGFV) ,BGFV, $201.02M , 10/28/2014 , Sep 2014 , $0.27 , 4 , $0.34 ,25.93%
Bio-Techne Corp (TECH) ,TECH, $3.28B , 10/28/2014 , Sep 2014 , $0.87 , 5 , $0.85 ,-2.3%
Black Box Corporation (BBOX) ,BBOX, $187.73M , 10/28/2014 , Sep 2014 , $0.53 , 1 , $0.37 ,-30.19%
Boston Properties Inc. (BXP) ,BXP, $19.33B , 10/28/2014 , Sep 2014 , $1.37 , 14 , $1.46 ,6.57%
BP p.l.c. (BP) ,BP, $109.18B , 10/28/2014 , Sep 2014 , $0.9 , 3 , $0.99 ,10%
C.H. Robinson Worldwide Inc. (CHRW) ,CHRW, $10.05B , 10/28/2014 , Sep 2014 , $0.8 , 14 , $0.85 ,6.25%
Cabot Corporation (CBT) ,CBT, $2.26B , 10/28/2014 , Sep 2014 , $0.65 , 5 , $0.85 ,30.77%
CAI International Inc. (CAI) ,CAI, $246.57M , 10/28/2014 , Sep 2014 , $0.66 , 7 , $0.69 ,4.55%
Camden National Corporation (CAC) ,CAC, $291.33M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.86 ,n/a
Capella Education Company (CPLA) ,CPLA, $538.46M , 10/28/2014 , Sep 2014 , $0.55 , 8 , $0.62 ,12.73%
Capital City Bank Group (CCBG) ,CCBG, $264.86M , 10/28/2014 , Sep 2014 , $0.11 , 3 , $0.12 ,9.09%
Capital Trust Inc. (BXMT) ,BXMT, $2.57B , 10/28/2014 , Sep 2014 , $0.45 , 3 , $0.45 ,0%
Cascade Bancorp (CACB) ,CACB, $408.36M , 10/28/2014 , Sep 2014 , $0.03 , 2 , $0.05 ,66.67%
Cascade Microtech Inc. (CSCD) ,CSCD, $254.82M , 10/28/2014 , Sep 2014 , $0.09 , 3 , $0.15 ,66.67%
Castle (A.M.) & Co. (CAS) ,CAS, $56.83M , 10/28/2014 , Sep 2014 , $-0.28 , 2 , $-0.55 ,96.43%
CDI Corporation (CDI) ,CDI, $157.56M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.27 ,n/a
CEB Inc. (CEB) ,CEB, $2.51B , 10/28/2014 , Sep 2014 , $0.82 , 3 , $0.98 ,19.51%
Centene Corporation (CNC) ,CNC, $7.09B , 10/28/2014 , Sep 2014 , $0.95 , 16 , $1.22 ,28.42%
Chemtura Corp. (CHMT) ,CHMT, $2.15B , 10/28/2014 , Sep 2014 , $0.29 , 4 , $0.2 ,-31.03%
China Life Insurance Company Limited (LFC) ,LFC, $102.09B , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.78 ,n/a
Ciber Inc. (CBR) ,CBR, $282.44M , 10/28/2014 , Sep 2014 , $0.02 , 1 , $-0.02 ,-200%
Cincinnati Financial Corporation (CINF) ,CINF, $9.87B , 10/28/2014 , Sep 2014 , $0.6 , 2 , $0.85 ,41.67%
CIT Group Inc (DEL) (CIT) ,CIT, $7.35B , 10/28/2014 , Sep 2014 , $0.88 , 10 , $0.89 ,1.14%
Clear Channel Outdoor Holdings Inc. (CCO) ,CCO, $2.7B , 10/28/2014 , Sep 2014 , $-0.01 , 3 , $-0.02 ,100%
Cleco Corporation (CNL) ,CNL, $3.21B , 10/28/2014 , Sep 2014 , $1.23 , 2 , $1.17 ,-4.88%
CNO Financial Group Inc. (CNO) ,CNO, $3.69B , 10/28/2014 , Sep 2014 , $0.32 , 4 , $0.46 ,43.75%
Coach Inc. (COH) ,COH, $8.63B , 10/28/2014 , Sep 2014 , $0.45 , 14 , $0.53 ,17.78%
CommerceWest Bank NA (California) (CWBK) ,CWBK, n/a , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.32 ,n/a
CommVault Systems Inc. (CVLT) ,CVLT, $1.84B , 10/28/2014 , Sep 2014 , $0.28 , 1 , $0.14 ,-50%
comScore Inc. (SCOR) ,SCOR, $1.68B , 10/28/2014 , Sep 2014 , $0.01 , 2 , $0.15 ,1400%
Concurrent Computer Corporation (CCUR) ,CCUR, $47.17M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.04 ,n/a
CONSOL Energy Inc. (CNX) ,CNX, $1.53B , 10/28/2014 , Sep 2014 , $0.2 , 10 , $0.09 ,-55%
Corning Incorporated (GLW) ,GLW, $22B , 10/28/2014 , Sep 2014 , $0.38 , 10 , $0.4 ,5.26%
CorVel Corp. (CRVL) ,CRVL, $661.64M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.37 ,n/a
CPS Technologies Corp. (CPSH) ,CPSH, $32.07M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.01 ,n/a
Cray Inc (CRAY) ,CRAY, $1.2B , 10/28/2014 , Sep 2014 , $-0.1 , 1 , $0.22 ,-320%
CryoLife Inc. (CRY) ,CRY, $299.91M , 10/28/2014 , Sep 2014 , $n/a , 0 , $0.08 ,n/a
CSS Industries Inc. (CSS) ,CSS, $246.54M , 10/28/2014 , Sep 2014 , $n/a , 0 , $1.05 ,n/a
CU Bancorp (CA) (CUNB) ,CUNB, $407.45M , 10/28/2014 , Sep 2014 , $0.27 , 4 , $0.28 ,3.7%
